timestamps,csi_len,channel,err_info,noise_floor,rate,bandWidth,num_tones,nr,nc,rssi,rssi1,rssi2,rssi3,payload_length,block_length,subcarriers,ant1_amplitude,ant2_amplitude,ant1_phase,ant2_phase
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,1,149.402141885583,92.2279784013506,0.837483712611627,-1.73416247490317
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,2,144.544110914281,169.331036729833,-1.26873688126177,1.73691587769088
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,3,155.56349186104,95.5667306126981,0.785398163397448,-1.80308531576592
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,4,153.525242224202,179.546651319372,-1.32739744118478,1.64884972099409
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,5,157.876534038469,103.16006979447,0.736110758404598,-1.85575367704505
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,6,163.624570282094,193.041446326948,-1.42976357621061,1.55007390490241
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,7,157.432525229064,102.52804494381,0.663828676966695,-1.92956699706547
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,8,160.312195418814,193.494185959165,-1.50837751679894,1.44644133224814
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,9,174.794164662325,104.809350727881,0.561025023138945,-2.08994244104142
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,10,166,197.881277537821,-1.5707963267949,1.37240968699201
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,11,178.011235600453,109.041276588272,0.478721843995766,-2.18678144630273
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,12,170.66048165876,202.773272400482,-1.65880370032264,1.27556061785343
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,13,182.12358441454,107.415082739809,0.498032086153516,-2.19753922800594
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,14,164.103625797848,200.172425673468,-1.6868370760398,1.250625549915
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,15,172.722320503171,105.645634079218,0.429981577338787,-2.282502671318
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,16,175.262660027742,214.888343099387,-1.69090506236181,1.20930235170987
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,17,177.710438635439,105.418214744891,0.380506377112365,-2.32265003063067
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,18,184.1656862719,218.277346511268,-1.75647783248202,1.12558925020631
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,19,179.424078651668,105.380263806844,0.358770670270572,-2.37632599832275
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,20,173.769962881966,213.328385359286,-1.77947808912992,1.09876317011482
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,21,177.115781340907,105.475115548645,0.339605799536195,-2.40313983845375
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,22,177.079078380254,214.580987042189,-1.83358132693527,1.04876004718523
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,23,182.562318127263,102.449987798926,0.288833505637055,-2.46685171136624
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,24,173.922396487629,211.473402582925,-1.8325098291961,1.01821197650418
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,25,177.538728169377,100.767058109285,0.250443089611352,-2.44050122271855
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,26,180.936452933067,219.938627803303,-1.868076242325,0.982793723247329
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,27,180.825883103056,100,0.206072131698682,-2.49809154479651
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,28,178.058978992917,221.205786542758,-1.9085313101099,0.920062071090453
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,29,193.018133863117,98.4784240328814,0.177073154778875,-2.57330580492725
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,30,174.751251783786,210.523157871052,-1.93961354450755,0.893088034230269
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,31,191.366141205805,100.124921972504,0.157416872726591,-2.54804994051845
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,32,174.928556845359,214.869727974882,-1.95767204452592,0.861160463894645
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,33,188.663722002933,95.6922149393565,0.132901794979373,-2.54199636662078
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,34,181.077331546497,214.767315949145,-1.96771148748053,0.854594442016031
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,35,191.509790872425,102.727795654341,0.125650330609846,-2.59950370578836
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,36,189.232661028692,225.219892549482,-1.96111593158127,0.841941600342266
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,37,184.200977196105,97.0978887515068,0.11425432796144,-2.57644321358303
3725444224,560,2437,0,0,140,0,56,2,2,59,52,57,128,1320,1904,38,179.011172835664,217.83020910792,-1.99696149910404,0.804876219213976
