timestamps,csi_len,channel,err_info,noise_floor,rate,bandWidth,num_tones,nr,nc,rssi,rssi1,rssi2,rssi3,payload_length,block_length,subcarriers,ant1_amplitude,ant2_amplitude,ant1_phase,ant2_phase
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,1,168.466613903171,88.1419309976812,-0.203216215883809,0.433200168431635
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,2,169.248338248858,161.966045824426,-2.30185473297958,-2.33436389768806
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,3,177.341478509682,90.0777441991084,-0.221727040316401,0.399060948576134
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,4,171.944758570885,164.146276229466,-2.31917437431841,-2.39066359119185
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,5,178.997206682116,93.9201788754685,-0.23684876094692,0.32511754504015
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,6,178.910592196214,171.478861671053,-2.34433733838747,-2.46776245792682
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,7,184.569770005817,98.0306074652198,-0.246292722817292,0.321750554396642
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,8,179.655225362359,173.600115207335,-2.3798121451973,-2.49924361801952
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,9,180.767806868369,90.4433524367601,-0.274500285189579,0.314757661391309
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,10,190.965965554075,185.800968781113,-2.37841305551906,-2.50132081236575
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,11,190.373317458093,90.2441133814278,-0.315106133905952,0.223476601140633
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,12,193.724030517641,188.366663717336,-2.44024508830481,-2.57567776813384
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,13,189.171879517015,92.7631392310545,-0.29500108343416,0.195281398094899
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,14,193.414063604486,192.213423048444,-2.41838525002122,-2.56369071662755
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,15,196.163197363828,94.3663075467086,-0.289503671961388,0.170375110662616
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,16,188.854441303349,189.404329411975,-2.44617641139527,-2.62834038072353
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,17,195.494245439604,94.2019108086455,-0.295866369032929,0.159913123158219
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,18,190.142052161009,191.002617783108,-2.43810039225828,-2.65687088159247
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,19,194.794763789995,93.2148056909416,-0.264901307063804,0.161621355183013
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,20,188.175450045961,190.394327646598,-2.38626061524139,-2.61918922187326
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,21,199.379036009306,96.5090669315583,-0.232813813106734,0.177073154778875
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,22,190.965965554075,192.418814048939,-2.37841305551906,-2.6430754630342
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,23,192.815974441953,89.2692556258872,-0.246236524098682,0.225959217688641
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,24,200.11246837716,195.726850483014,-2.35972804439021,-2.62308025281991
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,25,204.804785100349,94.3663075467086,-0.276958278186557,0.170375110662616
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,26,203.03940504247,199.48182874638,-2.38754310204055,-2.66225126588281
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,27,205.936883534737,89.4427190999916,-0.260289598513876,0.179853499792478
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,28,204.36486977952,203.066491573573,-2.36657474019109,-2.66032572269136
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,29,209.353767580142,88.283633817373,-0.265833113272627,0.170735211475283
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,30,204.384441677932,202.200395647486,-2.33889517803647,-2.60711031850154
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,31,209.570990358876,87.3212459828649,-0.231090667195897,0.231090667195897
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,32,203.887223729198,203.924005453012,-2.30762161488621,-2.61210627528629
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,33,203.577994881569,85.4400374531753,-0.187761946513593,0.284730438522712
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,34,199.123077517399,196.657061912355,-2.24945881754321,-2.56628330341143
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,35,220.476756144497,92.4175308044962,-0.177825105008426,0.229231933276995
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,36,202.180612324723,200.481919384268,-2.27566725176923,-2.60202858510371
3442162803,560,2437,0,0,143,0,56,2,2,58,53,57,128,1600,2184,37,210.867256822865,91.706052144883,-0.133178294984895,0.321750554396642
