timestamps,csi_len,channel,err_info,noise_floor,rate,bandWidth,num_tones,nr,nc,rssi,rssi1,rssi2,rssi3,payload_length,block_length,subcarriers,ant1_amplitude,ant2_amplitude,ant1_phase,ant2_phase
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,1,106.329676008159,233.188764737926,2.1144416223281,1.38097000842449
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,2,123.878973195615,253.568531170569,2.0308338431757,1.29520522021281
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,3,144.89996549344,268.888452708553,1.92310505146904,1.19374297463259
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,4,159.480406320024,288.903097941161,1.85684776851221,1.11179264725831
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,5,177.124250174842,300.123307991899,1.78701579808213,1.02809111621915
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,6,194.249839124773,312.001602559987,1.68429606447447,0.92409010077168
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,7,205.078033928551,316.101249602086,1.67337617921319,0.901984168858764
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,8,215.455331797568,323.233661613391,1.63582080547396,0.855458746035904
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,9,228.035085019828,325.995398740534,1.5883383868523,0.796243725121485
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,10,235.002127649943,328.805413580738,1.56654103333042,0.783247629078308
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,11,249.288988926507,334.790979567849,1.52264081373498,0.741029837070651
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,12,259.695976095126,330.770313057263,1.49756842541304,0.727646608483699
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,13,271.248963131659,341.47474284345,1.47479603642541,0.696238087595561
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,14,281.710844661685,340.471731572535,1.46053110873695,0.683456317880282
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,15,293.218348675522,340.834270577358,1.44771036709989,0.693986961537167
