timestamps,csi_len,channel,err_info,noise_floor,rate,bandWidth,num_tones,nr,nc,rssi,rssi1,rssi2,rssi3,payload_length,block_length,subcarriers,ant1_amplitude,ant2_amplitude,ant1_phase,ant2_phase
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,1,138.224455144522,81.4125297481905,2.23310853049734,-0.485622093297469
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,2,139.176147381654,146.154028339967,0.0503172044614783,2.9696949222941
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,3,143.600139275698,83.7257427557379,2.21290467882856,-0.511738842315358
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,4,144.086779407411,152.777616161531,0.0347082782252749,2.9506154908389
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,5,146.81280598095,82.8552955459094,2.12289753865572,-0.517649109376774
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,6,149.053681604984,157.708592029731,0.0268391912592154,2.92429922266677
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,7,153.561062773087,86.2670273047588,2.08105737598831,-0.604078388995958
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,8,154.012986465428,164.975755794602,-0.0129862829201725,2.87161919684401
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,9,155.708060163885,88.090862182181,2.06604261015432,-0.688924388214861
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,10,153.264477293338,168.573426138285,-0.0587558227157227,2.80295815026153
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,11,166.412138980304,91.438503924769,2.05863276545454,-0.71574358966888
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,12,163.110392066232,178.846302729467,-0.116750578393068,2.74551121202549
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,13,159.238814363835,87.7268487978452,2.05410432363683,-0.753151280962194
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,14,158.028478446133,176.476627347646,-0.114151267052807,2.73372468561588
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,15,165.954813126947,88.4137998278549,2.01288393470354,-0.761402769805578
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,16,159.380048939634,178.084249724674,-0.069072332164086,2.75587255938131
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,17,165.604951616792,87.692645073575,1.99392558331736,-0.801525797241085
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,18,157.537297171178,176.08236708995,-0.0826140838086459,2.73893800003792
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,19,161.891939268143,83.4865258589672,2.03168151188317,-0.751512833493331
270634628,560,2437,0,0,143,0,56,2,2,58,53,56,128,1320,1904,20,156.460857724864,176.875662542929,-0.076771891269778,2.72853475335837
