timestamps,csi_len,channel,err_info,noise_floor,rate,bandWidth,num_tones,nr,nc,rssi,rssi1,rssi2,rssi3,payload_length,block_length,subcarriers,ant1_amplitude,ant2_amplitude,ant1_phase,ant2_phase
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,1,149.936653290648,87.2811548961172,2.45539387946127,-3.06130583830678
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,2,149.883287927641,154.651220493082,0.433805724333697,0.336064505150634
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,3,156.630137585332,91.0054943396276,2.42396385459164,-3.13060408490706
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,4,154.693244842818,163.816971037802,0.391310278462211,0.310168060787986
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,5,150.013332740793,92.0489000477464,2.39391244265921,-3.10899550847184
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,6,166.769301731464,173.487751729049,0.393868610736361,0.274340851499402
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,7,158.448729878153,94.339811320566,2.32941517917258,3.05669086014007
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,8,164.137137784232,175.934646957329,0.335237212556515,0.211887298915381
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,9,168.297355891291,100.448992030781,2.3477913266447,2.97153403199774
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,10,166.337007307454,178.89941307897,0.317948291351291,0.145849603190914
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,11,172.002906952179,101.202766760598,2.31095788241318,2.93256971078353
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,12,165.677397372122,179.546651319372,0.262546401740099,0.0780533941991886
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,13,168.297355891291,103.576059009792,2.36459765373999,2.96692045458155
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,14,168.002976164114,181.540629061376,0.289746419862919,0.0771943669522896
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,15,166.171598054541,101.607086367044,2.35193919672787,2.9634997153586
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,16,175.513532241819,188.859736312428,0.330759319687059,0.0954537143327141
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,17,161.245154965971,98.0612053770501,2.33865243013494,2.93619726440003
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,18,178.675683852056,191.588099839212,0.3305998809129,0.0783731709259846
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,19,156.272198423136,94.5409963983879,2.35166963419589,2.96079308028582
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,20,180.249826629598,192.585046148448,0.321750554396642,0.0779666338315423
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,21,159.831160916762,93.1718841711382,2.33849722293457,2.9252519922165
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,22,179.323729606541,194.257560985409,0.305878871404852,0.0515008109512255
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,23,172.557236880984,94.5568612000208,2.33980251588434,2.82987520734053
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,24,175.208447284941,191.167465851279,0.307311124793876,0.0418603491299891
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,25,173.565549577098,93.6055553906925,2.29504632754304,2.82659875312894
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,26,178.675683852056,192.093727122985,0.312901227880384,0.0312398334302683
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,27,175.41379649275,95.603347221737,2.33200566053351,2.86616654989376
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,28,183.412104289766,196.040812077486,0.321750554396642,0.0204053306865381
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,29,180.424499445059,98.4936546179499,2.39147396378594,2.8744501327241
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,30,182.485615871498,192,0.306153898900668,0
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,31,177.721692542019,93.6215787091843,2.40794108190218,2.90438585470615
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,32,185,194.023194489731,0.330297354829254,0.0154626850595855
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,33,170.83617883809,88.283633817373,2.42661726042815,2.97085744211451
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,34,183.657289536789,190.444217554643,0.373428638879072,0.0683145818396399
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,35,173.876392877239,95.1892851112981,2.44169978387055,2.98335232913891
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,36,196.888293202008,201.717624415915,0.429569897413798,0.0843763074234714
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,37,165.42369842317,89.8053450525079,2.4460803837396,3.00756945200973
1320497398,560,2437,0,0,142,0,56,2,2,58,53,57,128,1600,2184,38,186.724395835145,192.665513260677,0.413330404539328,0.0831412318884412
